note_id,original_id,bar,voice,staff,ordinal
mn-1-1-1-1,n1,1,1,1,1
mn-1-1-1-2,n2,1,1,1,2
mn-1-1-1-3,n3,1,1,1,3
mn-1-1-1-4,n4,1,1,1,4
mn-1-1-1-5,n5,1,1,1,5
mn-1-1-1-6,n6,1,1,1,6
mn-1-1-1-7,n7,1,1,1,7
mn-1-1-1-8,n8,1,1,1,8
mn-1-1-1-9,n9,1,1,1,9
mn-1-1-1-10,n10,1,1,1,10
mn-1-1-1-11,n11,1,1,1,11
mn-1-5-2-1,n12,1,5,2,1
mn-1-5-2-2,n13,1,5,2,2
mn-1-5-2-3,n14,1,5,2,3
mn-2-1-1-1,n15,2,1,1,1
mn-2-1-1-2,n16,2,1,1,2
mn-2-1-1-3,n17,2,1,1,3
mn-2-1-1-4,n18,2,1,1,4
mn-2-1-1-5,n19,2,1,1,5
mn-2-1-1-6,n20,2,1,1,6
mn-2-1-1-7,n21,2,1,1,7
mn-2-1-1-8,n22,2,1,1,8
mn-2-1-1-9,n23,2,1,1,9
mn-2-1-1-10,n24,2,1,1,10
mn-2-1-1-11,n25,2,1,1,11
mn-2-1-1-12,n26,2,1,1,12
mn-2-5-2-1,n27,2,5,2,1
mn-2-5-2-2,n28,2,5,2,2
mn-2-5-2-3,n29,2,5,2,3
mn-2-5-2-4,n30,2,5,2,4
mn-2-5-2-5,n31,2,5,2,5
mn-3-1-1-1,n32,3,1,1,1
mn-3-1-1-2,n33,3,1,1,2
mn-3-1-1-3,n34,3,1,1,3
mn-3-1-1-4,n35,3,1,1,4
mn-3-1-1-5,n36,3,1,1,5
mn-3-1-1-6,n37,3,1,1,6
mn-3-1-1-7,n38,3,1,1,7
mn-3-1-1-8,n39,3,1,1,8
mn-3-1-1-9,n40,3,1,1,9
mn-3-1-1-10,n41,3,1,1,10
mn-3-1-1-11,n42,3,1,1,11
mn-3-1-1-12,n43,3,1,1,12
mn-3-5-2-1,n44,3,5,2,1
mn-3-5-2-2,n45,3,5,2,2
mn-3-5-2-3,n46,3,5,2,3
mn-3-5-2-4,n47,3,5,2,4
mn-3-5-2-5,n48,3,5,2,5
mn-4-1-1-1,n49,4,1,1,1
mn-4-1-1-2,n50,4,1,1,2
mn-4-1-1-3,n51,4,1,1,3
mn-4-1-1-4,n52,4,1,1,4
mn-4-1-1-5,n53,4,1,1,5
mn-4-1-1-6,n54,4,1,1,6
mn-4-1-1-7,n55,4,1,1,7
mn-4-1-1-8,n56,4,1,1,8
mn-4-1-1-9,n57,4,1,1,9
mn-4-1-1-10,n58,4,1,1,10
mn-4-1-1-11,n59,4,1,1,11
mn-4-1-1-12,n60,4,1,1,12
mn-4-5-2-1,n61,4,5,2,1
mn-4-5-2-2,n62,4,5,2,2
mn-4-5-2-3,n63,4,5,2,3
mn-4-5-2-4,n64,4,5,2,4
mn-4-5-2-5,n65,4,5,2,5
mn-4-5-2-6,n66,4,5,2,6
mn-5-1-1-1,n67,5,1,1,1
mn-5-1-1-2,r1,5,1,1,2
mn-5-1-1-3,r2,5,1,1,3
