note_id,original_id,part,bar,voice,staff,ordinal
mn-1-1-1-1-1,mn-1-1-1-1,1,1,1,1,1
mn-1-1-3-1-1,mn-1-3-1-1,1,1,3,1,1
mn-1-1-3-1-2,mn-1-3-1-2,1,1,3,1,2
mn-1-1-5-2-1,mn-1-5-2-1,1,1,5,2,1
mn-1-2-1-1-1,mn-2-1-1-1,1,2,1,1,1
mn-1-2-3-1-1,mn-2-3-1-1,1,2,3,1,1
mn-1-2-3-1-2,mn-2-3-1-2,1,2,3,1,2
mn-1-2-3-1-3,mn-2-3-1-3,1,2,3,1,3
mn-1-2-3-1-4,mn-2-3-1-4,1,2,3,1,4
mn-1-2-5-2-1,mn-2-5-2-1,1,2,5,2,1
mn-1-3-1-1-1,mn-3-1-1-1,1,3,1,1,1
mn-1-3-1-1-2,mn-3-1-1-2,1,3,1,1,2
mn-1-3-1-1-3,mn-3-1-1-3,1,3,1,1,3
mn-1-3-1-1-4,mn-3-1-1-4,1,3,1,1,4
mn-1-3-2-1-1,mn-3-2-1-1,1,3,2,1,1
mn-1-3-2-1-2,mn-3-2-1-2,1,3,2,1,2
mn-1-3-5-2-1,mn-3-5-2-1,1,3,5,2,1
mn-1-4-1-1-1,mn-4-1-1-1,1,4,1,1,1
mn-1-4-1-1-2,mn-4-1-1-2,1,4,1,1,2
mn-1-4-1-1-3,mn-4-1-1-3,1,4,1,1,3
mn-1-4-1-1-4,mn-4-1-1-4,1,4,1,1,4
mn-1-4-2-1-1,mn-4-2-1-1,1,4,2,1,1
mn-1-4-2-1-2,mn-4-2-1-2,1,4,2,1,2
mn-1-4-2-1-3,mn-4-2-1-3,1,4,2,1,3
mn-1-4-2-1-4,mn-4-2-1-4,1,4,2,1,4
mn-1-4-5-2-1,mn-4-5-2-1,1,4,5,2,1
mn-1-5-1-1-1,mn-5-1-1-1,1,5,1,1,1
mn-1-5-1-1-2,mn-5-1-1-2,1,5,1,1,2
mn-1-5-1-1-3,mn-5-1-1-3,1,5,1,1,3
mn-1-5-1-1-4,mn-5-1-1-4,1,5,1,1,4
mn-1-5-2-1-1,mn-5-2-1-1,1,5,2,1,1
mn-1-5-2-1-2,mn-5-2-1-2,1,5,2,1,2
mn-1-5-2-1-3,mn-5-2-1-3,1,5,2,1,3
mn-1-5-2-1-4,mn-5-2-1-4,1,5,2,1,4
mn-1-5-5-2-1,mn-5-5-2-1,1,5,5,2,1
mn-1-6-1-1-1,mn-6-1-1-1,1,6,1,1,1
mn-1-6-1-1-2,mn-6-1-1-2,1,6,1,1,2
mn-1-6-1-1-3,mn-6-1-1-3,1,6,1,1,3
