note_id,original_id,part,bar,voice,staff,ordinal
mn-1-1-1-1-1,mn-1-1-1-1,1,1,1,1,1
mn-1-1-2-1-1,mn-1-2-1-1,1,1,2,1,1
mn-1-1-2-2-1,mn-1-2-2-1,1,1,2,2,1
mn-1-1-2-2-2,mn-1-2-2-2,1,1,2,2,2
mn-1-1-2-2-3,mn-1-2-2-3,1,1,2,2,3
mn-1-1-2-2-4,mn-1-2-2-4,1,1,2,2,4
mn-1-1-2-2-5,mn-1-2-2-5,1,1,2,2,5
mn-1-1-2-1-2,mn-1-2-1-2,1,1,2,1,2
mn-1-1-2-2-6,mn-1-2-2-6,1,1,2,2,6
mn-1-1-2-2-7,mn-1-2-2-7,1,1,2,2,7
mn-1-1-4-2-1,mn-1-4-2-1,1,1,4,2,1
mn-1-1-4-2-2,mn-1-4-2-2,1,1,4,2,2
mn-1-1-4-2-3,mn-1-4-2-3,1,1,4,2,3
mn-1-1-4-2-4,mn-1-4-2-4,1,1,4,2,4
mn-1-1-4-2-5,mn-1-4-2-5,1,1,4,2,5
mn-1-2-1-1-1,mn-2-1-1-1,1,2,1,1,1
mn-1-2-4-2-1,mn-2-4-2-1,1,2,4,2,1
mn-1-2-4-2-2,mn-2-4-2-2,1,2,4,2,2
mn-1-2-4-2-3,mn-2-4-2-3,1,2,4,2,3
mn-1-2-4-2-4,mn-2-4-2-4,1,2,4,2,4
mn-1-2-4-2-5,mn-2-4-2-5,1,2,4,2,5
mn-1-2-4-2-6,mn-2-4-2-6,1,2,4,2,6
mn-1-2-4-2-7,mn-2-4-2-7,1,2,4,2,7
mn-1-2-4-2-8,mn-2-4-2-8,1,2,4,2,8
mn-1-2-4-2-9,mn-2-4-2-9,1,2,4,2,9
mn-1-2-4-2-10,mn-2-4-2-10,1,2,4,2,10
mn-1-2-4-2-11,mn-2-4-2-11,1,2,4,2,11
mn-1-2-5-2-1,mn-2-5-2-1,1,2,5,2,1
mn-1-2-5-2-2,mn-2-5-2-2,1,2,5,2,2
mn-1-2-5-2-3,mn-2-5-2-3,1,2,5,2,3
mn-1-2-5-2-4,mn-2-5-2-4,1,2,5,2,4
mn-1-2-5-2-5,mn-2-5-2-5,1,2,5,2,5
mn-1-3-1-1-1,mn-3-1-1-1,1,3,1,1,1
mn-1-3-4-2-1,mn-3-4-2-1,1,3,4,2,1
mn-1-3-4-2-2,mn-3-4-2-2,1,3,4,2,2
mn-1-3-4-2-3,mn-3-4-2-3,1,3,4,2,3
mn-1-3-4-2-4,mn-3-4-2-4,1,3,4,2,4
mn-1-3-4-2-5,mn-3-4-2-5,1,3,4,2,5
mn-1-3-4-2-6,mn-3-4-2-6,1,3,4,2,6
mn-1-3-4-2-7,mn-3-4-2-7,1,3,4,2,7
mn-1-3-4-2-8,mn-3-4-2-8,1,3,4,2,8
mn-1-3-4-2-9,mn-3-4-2-9,1,3,4,2,9
mn-1-3-4-2-10,mn-3-4-2-10,1,3,4,2,10
mn-1-3-4-2-11,mn-3-4-2-11,1,3,4,2,11
mn-1-3-5-2-1,mn-3-5-2-1,1,3,5,2,1
mn-1-3-5-2-2,mn-3-5-2-2,1,3,5,2,2
mn-1-3-5-2-3,mn-3-5-2-3,1,3,5,2,3
mn-1-3-5-2-4,mn-3-5-2-4,1,3,5,2,4
mn-1-3-5-2-5,mn-3-5-2-5,1,3,5,2,5
mn-1-4-1-1-1,mn-4-1-1-1,1,4,1,1,1
mn-1-4-4-2-1,mn-4-4-2-1,1,4,4,2,1
mn-1-4-4-2-2,mn-4-4-2-2,1,4,4,2,2
mn-1-4-4-2-3,mn-4-4-2-3,1,4,4,2,3
mn-1-4-4-2-4,mn-4-4-2-4,1,4,4,2,4
mn-1-4-4-2-5,mn-4-4-2-5,1,4,4,2,5
mn-1-4-4-2-6,mn-4-4-2-6,1,4,4,2,6
mn-1-4-4-2-7,mn-4-4-2-7,1,4,4,2,7
mn-1-4-4-2-8,mn-4-4-2-8,1,4,4,2,8
mn-1-4-4-2-9,mn-4-4-2-9,1,4,4,2,9
mn-1-4-4-2-10,mn-4-4-2-10,1,4,4,2,10
mn-1-4-4-2-11,mn-4-4-2-11,1,4,4,2,11
mn-1-4-4-2-12,mn-4-4-2-12,1,4,4,2,12
mn-1-4-4-2-13,mn-4-4-2-13,1,4,4,2,13
mn-1-4-5-2-1,mn-4-5-2-1,1,4,5,2,1
mn-1-4-5-2-2,mn-4-5-2-2,1,4,5,2,2
mn-1-4-5-2-3,mn-4-5-2-3,1,4,5,2,3
mn-1-4-5-2-4,mn-4-5-2-4,1,4,5,2,4
mn-1-4-5-2-5,mn-4-5-2-5,1,4,5,2,5
mn-1-4-5-2-6,mn-4-5-2-6,1,4,5,2,6
mn-1-4-5-2-7,mn-4-5-2-7,1,4,5,2,7
mn-1-5-1-1-1,mn-5-1-1-1,1,5,1,1,1
mn-1-5-1-1-2,mn-5-1-1-2,1,5,1,1,2
mn-1-5-1-1-3,mn-5-1-1-3,1,5,1,1,3
mn-1-5-1-1-4,mn-5-1-1-4,1,5,1,1,4
mn-1-5-2-1-1,mn-5-2-1-1,1,5,2,1,1
mn-1-5-2-1-2,mn-5-2-1-2,1,5,2,1,2
mn-1-5-2-1-3,mn-5-2-1-3,1,5,2,1,3
mn-1-5-4-2-1,mn-5-4-2-1,1,5,4,2,1
mn-1-5-4-2-2,mn-5-4-2-2,1,5,4,2,2
mn-1-5-4-2-3,mn-5-4-2-3,1,5,4,2,3
mn-1-5-4-2-4,mn-5-4-2-4,1,5,4,2,4
mn-1-5-4-2-5,mn-5-4-2-5,1,5,4,2,5
mn-1-5-5-2-1,mn-5-5-2-1,1,5,5,2,1
mn-1-5-5-2-2,mn-5-5-2-2,1,5,5,2,2
mn-1-5-5-2-3,mn-5-5-2-3,1,5,5,2,3
mn-1-5-5-2-4,mn-5-5-2-4,1,5,5,2,4
mn-1-6-1-1-1,mn-6-1-1-1,1,6,1,1,1
mn-1-6-1-1-2,mn-6-1-1-2,1,6,1,1,2
mn-1-6-1-1-3,mn-6-1-1-3,1,6,1,1,3
mn-1-6-1-1-4,mn-6-1-1-4,1,6,1,1,4
mn-1-6-1-1-5,mn-6-1-1-5,1,6,1,1,5
mn-1-6-2-1-1,mn-6-2-1-1,1,6,2,1,1
mn-1-6-2-1-2,mn-6-2-1-2,1,6,2,1,2
mn-1-6-2-1-3,mn-6-2-1-3,1,6,2,1,3
mn-1-6-2-1-4,mn-6-2-1-4,1,6,2,1,4
mn-1-6-2-1-5,mn-6-2-1-5,1,6,2,1,5
mn-1-6-2-1-6,mn-6-2-1-6,1,6,2,1,6
mn-1-6-2-1-7,mn-6-2-1-7,1,6,2,1,7
mn-1-6-4-2-1,mn-6-4-2-1,1,6,4,2,1
mn-1-6-4-2-2,mn-6-4-2-2,1,6,4,2,2
mn-1-6-4-2-3,mn-6-4-2-3,1,6,4,2,3
mn-1-6-4-2-4,mn-6-4-2-4,1,6,4,2,4
mn-1-6-4-2-5,mn-6-4-2-5,1,6,4,2,5
mn-1-7-1-1-1,mn-7-1-1-1,1,7,1,1,1
mn-1-7-1-1-2,mn-7-1-1-2,1,7,1,1,2
mn-1-7-1-1-3,mn-7-1-1-3,1,7,1,1,3
mn-1-7-1-1-4,mn-7-1-1-4,1,7,1,1,4
mn-1-7-2-1-1,mn-7-2-1-1,1,7,2,1,1
