note_id,original_id,part,bar,voice,staff,ordinal
mn-1-1-1-1-1,mn-1-1-1-1-1,1,1,1,1,1
mn-1-1-2-1-1,mn-1-1-2-1-1,1,1,2,1,1
mn-1-1-2-1-2,mn-1-1-2-1-2,1,1,2,1,2
mn-1-1-2-1-3,mn-1-1-2-1-3,1,1,2,1,3
mn-1-1-2-1-4,mn-1-1-2-1-4,1,1,2,1,4
mn-1-1-2-1-5,mn-1-1-2-1-5,1,1,2,1,5
mn-1-1-2-1-6,mn-1-1-2-1-6,1,1,2,1,6
mn-1-1-2-1-7,mn-1-1-2-1-7,1,1,2,1,7
mn-1-1-2-1-8,mn-1-1-2-1-8,1,1,2,1,8
mn-1-1-2-1-9,mn-1-1-2-1-9,1,1,2,1,9
mn-1-1-2-1-10,mn-1-1-2-1-10,1,1,2,1,10
mn-1-1-2-1-11,mn-1-1-2-1-11,1,1,2,1,11
mn-1-1-5-2-1,mn-1-1-5-2-1,1,1,5,2,1
mn-1-1-5-2-2,mn-1-1-5-2-2,1,1,5,2,2
mn-1-1-5-2-3,mn-1-1-5-2-3,1,1,5,2,3
mn-1-1-5-2-4,mn-1-1-5-2-4,1,1,5,2,4
mn-1-1-5-2-5,mn-1-1-5-2-5,1,1,5,2,5
mn-1-1-5-2-6,mn-1-1-5-2-6,1,1,5,2,6
mn-1-1-5-2-7,mn-1-1-5-2-7,1,1,5,2,7
mn-1-1-5-2-8,mn-1-1-5-2-8,1,1,5,2,8
mn-1-1-5-2-9,mn-1-1-5-2-9,1,1,5,2,9
mn-1-1-5-2-10,mn-1-1-5-2-10,1,1,5,2,10
mn-1-2-1-1-1,mn-1-2-1-1-1,1,2,1,1,1
mn-1-2-2-1-1,mn-1-2-2-1-1,1,2,2,1,1
mn-1-2-2-1-2,mn-1-2-2-1-2,1,2,2,1,2
mn-1-2-2-1-3,mn-1-2-2-1-3,1,2,2,1,3
mn-1-2-2-1-4,mn-1-2-2-1-4,1,2,2,1,4
mn-1-2-2-1-5,mn-1-2-2-1-5,1,2,2,1,5
mn-1-2-5-2-1,mn-1-2-5-2-1,1,2,5,2,1
mn-1-2-5-2-2,mn-1-2-5-2-2,1,2,5,2,2
mn-1-2-5-2-3,mn-1-2-5-2-3,1,2,5,2,3
mn-1-2-5-2-4,mn-1-2-5-2-4,1,2,5,2,4
mn-1-3-1-1-1,mn-1-3-1-1-1,1,3,1,1,1
mn-1-3-2-1-1,mn-1-3-2-1-1,1,3,2,1,1
mn-1-3-2-1-2,mn-1-3-2-1-2,1,3,2,1,2
mn-1-3-2-1-3,mn-1-3-2-1-3,1,3,2,1,3
mn-1-3-2-1-4,mn-1-3-2-1-4,1,3,2,1,4
mn-1-3-2-1-5,mn-1-3-2-1-5,1,3,2,1,5
mn-1-3-2-1-6,mn-1-3-2-1-6,1,3,2,1,6
mn-1-3-2-1-7,mn-1-3-2-1-7,1,3,2,1,7
mn-1-3-2-1-8,mn-1-3-2-1-8,1,3,2,1,8
mn-1-3-2-1-9,mn-1-3-2-1-9,1,3,2,1,9
mn-1-3-2-1-10,mn-1-3-2-1-10,1,3,2,1,10
mn-1-3-2-1-11,mn-1-3-2-1-11,1,3,2,1,11
mn-1-3-2-1-12,mn-1-3-2-1-12,1,3,2,1,12
mn-1-3-2-1-13,mn-1-3-2-1-13,1,3,2,1,13
mn-1-3-2-1-14,mn-1-3-2-1-14,1,3,2,1,14
mn-1-3-2-1-15,mn-1-3-2-1-15,1,3,2,1,15
mn-1-3-5-2-1,mn-1-3-5-2-1,1,3,5,2,1
mn-1-3-5-2-2,mn-1-3-5-2-2,1,3,5,2,2
mn-1-3-5-2-3,mn-1-3-5-2-3,1,3,5,2,3
mn-1-3-5-2-4,mn-1-3-5-2-4,1,3,5,2,4
mn-1-3-5-2-5,mn-1-3-5-2-5,1,3,5,2,5
mn-1-3-5-2-6,mn-1-3-5-2-6,1,3,5,2,6
mn-1-3-5-2-7,mn-1-3-5-2-7,1,3,5,2,7
mn-1-3-5-2-8,mn-1-3-5-2-8,1,3,5,2,8
mn-1-4-1-1-1,mn-1-4-1-1-1,1,4,1,1,1
mn-1-4-2-1-1,mn-1-4-2-1-1,1,4,2,1,1
mn-1-4-2-1-2,mn-1-4-2-1-2,1,4,2,1,2
mn-1-4-2-1-3,mn-1-4-2-1-3,1,4,2,1,3
