note_id,original_id,part,bar,voice,staff,ordinal
mn-1-1-1-1-1,mn-1-1-1-1-1,1,1,1,1,1
mn-1-1-1-1-2,mn-1-1-1-1-2,1,1,1,1,2
mn-1-1-1-1-3,mn-1-1-1-1-3,1,1,1,1,3
mn-1-1-1-1-4,mn-1-1-1-1-4,1,1,1,1,4
mn-1-1-5-2-1,mn-1-1-5-2-1,1,1,5,2,1
mn-1-1-6-2-1,mn-1-1-6-2-1,1,1,6,2,1
mn-1-1-6-2-2,mn-1-1-6-2-2,1,1,6,2,2
mn-1-1-6-2-3,mn-1-1-6-2-3,1,1,6,2,3
mn-1-1-6-2-4,mn-1-1-6-2-4,1,1,6,2,4
mn-1-2-1-1-1,mn-1-2-1-1-1,1,2,1,1,1
mn-1-2-1-1-2,mn-1-2-1-1-2,1,2,1,1,2
mn-1-2-1-1-3,mn-1-2-1-1-3,1,2,1,1,3
mn-1-2-1-1-4,mn-1-2-1-1-4,1,2,1,1,4
mn-1-2-1-1-5,mn-1-2-1-1-5,1,2,1,1,5
mn-1-2-5-2-1,mn-1-2-5-2-1,1,2,5,2,1
mn-1-2-6-2-1,mn-1-2-6-2-1,1,2,6,2,1
mn-1-2-6-2-2,mn-1-2-6-2-2,1,2,6,2,2
mn-1-2-6-2-3,mn-1-2-6-2-3,1,2,6,2,3
mn-1-2-6-2-4,mn-1-2-6-2-4,1,2,6,2,4
mn-1-2-6-2-5,mn-1-2-6-2-5,1,2,6,2,5
mn-1-3-1-1-1,mn-1-3-1-1-1,1,3,1,1,1
mn-1-3-1-1-2,mn-1-3-1-1-2,1,3,1,1,2
mn-1-3-1-1-3,mn-1-3-1-1-3,1,3,1,1,3
mn-1-3-5-2-1,mn-1-3-5-2-1,1,3,5,2,1
mn-1-3-6-2-1,mn-1-3-6-2-1,1,3,6,2,1
mn-1-3-6-2-2,mn-1-3-6-2-2,1,3,6,2,2
mn-1-3-6-2-3,mn-1-3-6-2-3,1,3,6,2,3
mn-1-4-1-1-1,mn-1-4-1-1-1,1,4,1,1,1
mn-1-4-5-2-1,mn-1-4-5-2-1,1,4,5,2,1
mn-1-4-6-2-1,mn-1-4-6-2-1,1,4,6,2,1
mn-1-5-1-1-1,mn-1-5-1-1-1,1,5,1,1,1
mn-1-5-1-1-2,mn-1-5-1-1-2,1,5,1,1,2
mn-1-5-1-1-3,mn-1-5-1-1-3,1,5,1,1,3
mn-1-5-5-2-1,mn-1-5-5-2-1,1,5,5,2,1
mn-1-5-6-2-1,mn-1-5-6-2-1,1,5,6,2,1
mn-1-5-6-2-2,mn-1-5-6-2-2,1,5,6,2,2
mn-1-5-6-2-3,mn-1-5-6-2-3,1,5,6,2,3
mn-1-5-6-2-4,mn-1-5-6-2-4,1,5,6,2,4
mn-1-6-1-1-1,mn-1-6-1-1-1,1,6,1,1,1
mn-1-6-1-1-2,mn-1-6-1-1-2,1,6,1,1,2
