note_id,original_id,part,bar,voice,staff,ordinal
mn-1-0-1-1-1,mn-1-0-1-1-1,1,0,1,1,1
mn-1-0-1-1-2,mn-1-0-1-1-2,1,0,1,1,2
mn-1-0-1-1-3,mn-1-0-1-1-3,1,0,1,1,3
mn-1-0-1-1-4,mn-1-0-1-1-4,1,0,1,1,4
mn-1-0-1-1-5,mn-1-0-1-1-5,1,0,1,1,5
mn-1-0-1-1-6,mn-1-0-1-1-6,1,0,1,1,6
mn-1-0-5-2-1,mn-1-0-5-2-1,1,0,5,2,1
mn-1-0-5-2-2,mn-1-0-5-2-2,1,0,5,2,2
mn-1-0-5-2-3,mn-1-0-5-2-3,1,0,5,2,3
mn-1-0-5-2-4,mn-1-0-5-2-4,1,0,5,2,4
mn-1-0-5-2-5,mn-1-0-5-2-5,1,0,5,2,5
mn-1-0-5-2-6,mn-1-0-5-2-6,1,0,5,2,6
mn-1-0-5-2-7,mn-1-0-5-2-7,1,0,5,2,7
mn-1-0-5-2-8,mn-1-0-5-2-8,1,0,5,2,8
mn-1-0-5-2-9,mn-1-0-5-2-9,1,0,5,2,9
mn-1-1-1-1-1,mn-1-1-1-1-1,1,1,1,1,1
mn-1-1-1-1-2,mn-1-1-1-1-2,1,1,1,1,2
mn-1-1-1-1-3,mn-1-1-1-1-3,1,1,1,1,3
mn-1-1-1-1-4,mn-1-1-1-1-4,1,1,1,1,4
mn-1-1-1-1-5,mn-1-1-1-1-5,1,1,1,1,5
mn-1-1-1-1-6,mn-1-1-1-1-6,1,1,1,1,6
mn-1-1-1-1-7,mn-1-1-1-1-7,1,1,1,1,7
mn-1-1-1-1-8,mn-1-1-1-1-8,1,1,1,1,8
mn-1-1-1-1-9,mn-1-1-1-1-9,1,1,1,1,9
mn-1-1-1-1-10,mn-1-1-1-1-10,1,1,1,1,10
mn-1-1-1-1-11,mn-1-1-1-1-11,1,1,1,1,11
mn-1-1-1-1-12,mn-1-1-1-1-12,1,1,1,1,12
mn-1-1-1-1-13,mn-1-1-1-1-13,1,1,1,1,13
mn-1-1-1-1-14,mn-1-1-1-1-14,1,1,1,1,14
mn-1-1-2-1-1,mn-1-1-2-1-1,1,1,2,1,1
mn-1-1-2-1-2,mn-1-1-2-1-2,1,1,2,1,2
mn-1-1-2-1-3,mn-1-1-2-1-3,1,1,2,1,3
mn-1-1-2-1-4,mn-1-1-2-1-4,1,1,2,1,4
mn-1-1-5-2-1,mn-1-1-5-2-1,1,1,5,2,1
mn-1-1-5-2-2,mn-1-1-5-2-2,1,1,5,2,2
mn-1-1-5-2-3,mn-1-1-5-2-3,1,1,5,2,3
mn-1-1-5-2-4,mn-1-1-5-2-4,1,1,5,2,4
mn-1-1-5-2-5,mn-1-1-5-2-5,1,1,5,2,5
mn-1-1-5-2-6,mn-1-1-5-2-6,1,1,5,2,6
mn-1-1-5-2-7,mn-1-1-5-2-7,1,1,5,2,7
mn-1-1-5-2-8,mn-1-1-5-2-8,1,1,5,2,8
mn-1-1-5-2-9,mn-1-1-5-2-9,1,1,5,2,9
mn-1-1-5-2-10,mn-1-1-5-2-10,1,1,5,2,10
mn-1-1-5-2-11,mn-1-1-5-2-11,1,1,5,2,11
mn-1-1-5-2-12,mn-1-1-5-2-12,1,1,5,2,12
mn-1-1-5-2-13,mn-1-1-5-2-13,1,1,5,2,13
mn-1-1-5-2-14,mn-1-1-5-2-14,1,1,5,2,14
mn-1-1-5-2-15,mn-1-1-5-2-15,1,1,5,2,15
mn-1-1-5-2-16,mn-1-1-5-2-16,1,1,5,2,16
mn-1-1-6-2-1,mn-1-1-6-2-1,1,1,6,2,1
mn-1-1-6-2-2,mn-1-1-6-2-2,1,1,6,2,2
mn-1-1-6-2-3,mn-1-1-6-2-3,1,1,6,2,3
mn-1-2-1-1-1,mn-1-2-1-1-1,1,2,1,1,1
mn-1-2-1-1-2,mn-1-2-1-1-2,1,2,1,1,2
mn-1-2-1-1-3,mn-1-2-1-1-3,1,2,1,1,3
mn-1-2-1-1-4,mn-1-2-1-1-4,1,2,1,1,4
mn-1-2-1-1-5,mn-1-2-1-1-5,1,2,1,1,5
mn-1-2-1-1-6,mn-1-2-1-1-6,1,2,1,1,6
mn-1-2-1-1-7,mn-1-2-1-1-7,1,2,1,1,7
mn-1-2-1-1-8,mn-1-2-1-1-8,1,2,1,1,8
mn-1-2-1-1-9,mn-1-2-1-1-9,1,2,1,1,9
mn-1-2-1-1-10,mn-1-2-1-1-10,1,2,1,1,10
mn-1-2-1-1-11,mn-1-2-1-1-11,1,2,1,1,11
mn-1-2-1-1-12,mn-1-2-1-1-12,1,2,1,1,12
mn-1-2-1-1-13,mn-1-2-1-1-13,1,2,1,1,13
mn-1-2-1-1-14,mn-1-2-1-1-14,1,2,1,1,14
mn-1-2-2-1-1,mn-1-2-2-1-1,1,2,2,1,1
mn-1-2-2-1-2,mn-1-2-2-1-2,1,2,2,1,2
mn-1-2-2-1-3,mn-1-2-2-1-3,1,2,2,1,3
mn-1-2-2-1-4,mn-1-2-2-1-4,1,2,2,1,4
mn-1-2-5-2-1,mn-1-2-5-2-1,1,2,5,2,1
mn-1-2-5-2-2,mn-1-2-5-2-2,1,2,5,2,2
mn-1-2-5-2-3,mn-1-2-5-2-3,1,2,5,2,3
mn-1-2-5-2-4,mn-1-2-5-2-4,1,2,5,2,4
mn-1-2-5-2-5,mn-1-2-5-2-5,1,2,5,2,5
mn-1-2-5-2-6,mn-1-2-5-2-6,1,2,5,2,6
mn-1-2-5-2-7,mn-1-2-5-2-7,1,2,5,2,7
mn-1-2-5-2-8,mn-1-2-5-2-8,1,2,5,2,8
mn-1-2-5-2-9,mn-1-2-5-2-9,1,2,5,2,9
mn-1-2-5-2-10,mn-1-2-5-2-10,1,2,5,2,10
mn-1-2-5-2-11,mn-1-2-5-2-11,1,2,5,2,11
mn-1-2-5-2-12,mn-1-2-5-2-12,1,2,5,2,12
mn-1-2-5-2-13,mn-1-2-5-2-13,1,2,5,2,13
mn-1-2-5-2-14,mn-1-2-5-2-14,1,2,5,2,14
mn-1-2-5-2-15,mn-1-2-5-2-15,1,2,5,2,15
mn-1-2-5-2-16,mn-1-2-5-2-16,1,2,5,2,16
mn-1-2-5-2-17,mn-1-2-5-2-17,1,2,5,2,17
mn-1-2-5-2-18,mn-1-2-5-2-18,1,2,5,2,18
mn-1-2-6-2-1,mn-1-2-6-2-1,1,2,6,2,1
mn-1-2-6-2-2,mn-1-2-6-2-2,1,2,6,2,2
mn-1-2-6-2-3,mn-1-2-6-2-3,1,2,6,2,3
