element_id,tag,carrier,host_or_staff
md-1-1-1-1,dynamics,md,1
md-1-1-1-2,words,md,1
n62--slur--start--1,slur,stamp,n62
n66--slur--stop--1,slur,stamp,n66
n66--staccatissimo--1,staccatissimo,derive,n66
n66--staccato--1,staccato,derive,n66
n83--slur--start--1,slur,stamp,n83
n84--tied--start--1,tied,stamp,n84
n84--slur--stop--1,slur,stamp,n84
n84--slur--start--2,slur,stamp,n84
n85--tied--stop--1,tied,stamp,n85
n89--slur--stop--1,slur,stamp,n89
n89--staccatissimo--1,staccatissimo,derive,n89
n89--staccato--1,staccato,derive,n89
md-1-5-1-1,dynamics,md,1
n171--slur--start--1,slur,stamp,n171
n175--slur--stop--1,slur,stamp,n175
n175--staccatissimo--1,staccatissimo,derive,n175
n175--staccato--1,staccato,derive,n175
n192--slur--start--1,slur,stamp,n192
n193--tied--start--1,tied,stamp,n193
n193--slur--stop--1,slur,stamp,n193
n193--slur--start--2,slur,stamp,n193
n194--tied--stop--1,tied,stamp,n194
n198--slur--stop--1,slur,stamp,n198
n198--staccatissimo--1,staccatissimo,derive,n198
n198--staccato--1,staccato,derive,n198
n216--slur--start--1,slur,stamp,n216
n217--slur--stop--1,slur,stamp,n217
md-1-9-1-1,dynamics,md,1
n288--tied--start--1,tied,stamp,n288
n289--tied--start--1,tied,stamp,n289
n290--tied--stop--1,tied,stamp,n290
n291--tied--stop--1,tied,stamp,n291
md-1-11-1-1,dynamics,md,1
md-1-11-1-2,dynamics,md,1
md-1-12-1-1,dynamics,md,1
n313--fermata--upright--1,fermata,stamp,n313
n314--fermata--upright--1,fermata,stamp,n314
md-1-13-1-1,dynamics,md,1
md-1-14-1-1,dynamics,md,1
n380--slur--start--1,slur,stamp,n380
n383--slur--stop--1,slur,stamp,n383
n383--staccatissimo--1,staccatissimo,derive,n383
n383--staccato--1,staccato,derive,n383
n410--slur--start--1,slur,stamp,n410
n411--tied--start--1,tied,stamp,n411
n411--slur--stop--1,slur,stamp,n411
n411--slur--start--2,slur,stamp,n411
