element_id,tag,carrier,host_or_staff
mn-1-1-5-2-1--tied--start--1,tied,stamp,mn-1-1-5-2-1
mn-1-1-5-2-2--tied--start--1,tied,stamp,mn-1-1-5-2-2
mn-1-2-5-2-1--tied--stop--1,tied,stamp,mn-1-2-5-2-1
mn-1-2-5-2-1--tied--start--2,tied,stamp,mn-1-2-5-2-1
mn-1-2-5-2-2--tied--stop--1,tied,stamp,mn-1-2-5-2-2
mn-1-2-5-2-2--tied--start--2,tied,stamp,mn-1-2-5-2-2
mn-1-3-1-1-1--tied--start--1,tied,stamp,mn-1-3-1-1-1
mn-1-3-2-1-4--tied--start--1,tied,stamp,mn-1-3-2-1-4
mn-1-3-2-1-5--tied--stop--1,tied,stamp,mn-1-3-2-1-5
mn-1-3-3-1-2--tied--start--1,tied,stamp,mn-1-3-3-1-2
mn-1-3-3-1-3--tied--stop--1,tied,stamp,mn-1-3-3-1-3
mn-1-3-3-1-3--tied--start--2,tied,stamp,mn-1-3-3-1-3
mn-1-3-3-1-4--tied--stop--1,tied,stamp,mn-1-3-3-1-4
mn-1-3-5-2-1--tied--stop--1,tied,stamp,mn-1-3-5-2-1
mn-1-3-5-2-2--tied--stop--1,tied,stamp,mn-1-3-5-2-2
mn-1-4-1-1-1--tied--stop--1,tied,stamp,mn-1-4-1-1-1
mn-1-4-1-1-1--tied--start--2,tied,stamp,mn-1-4-1-1-1
mn-1-4-1-1-2--tied--stop--1,tied,stamp,mn-1-4-1-1-2
mn-1-4-1-1-7--tied--start--1,tied,stamp,mn-1-4-1-1-7
mn-1-4-1-1-8--tied--stop--1,tied,stamp,mn-1-4-1-1-8
mn-1-4-2-1-4--tied--start--1,tied,stamp,mn-1-4-2-1-4
mn-1-4-6-2-1--tied--start--1,tied,stamp,mn-1-4-6-2-1
mn-1-4-6-2-2--tied--stop--1,tied,stamp,mn-1-4-6-2-2
mn-1-5-1-1-1--tied--start--1,tied,stamp,mn-1-5-1-1-1
mn-1-5-1-1-2--tied--stop--1,tied,stamp,mn-1-5-1-1-2
mn-1-5-2-1-1--tied--stop--1,tied,stamp,mn-1-5-2-1-1
mn-1-5-2-1-6--tied--start--1,tied,stamp,mn-1-5-2-1-6
mn-1-6-1-1-1--tied--start--1,tied,stamp,mn-1-6-1-1-1
mn-1-6-1-1-2--tied--stop--1,tied,stamp,mn-1-6-1-1-2
mn-1-6-1-1-6--tied--start--1,tied,stamp,mn-1-6-1-1-6
mn-1-6-1-1-7--tied--stop--1,tied,stamp,mn-1-6-1-1-7
mn-1-6-2-1-1--tied--stop--1,tied,stamp,mn-1-6-2-1-1
mn-1-6-2-1-6--tied--start--1,tied,stamp,mn-1-6-2-1-6
mn-1-6-5-2-4--tied--start--1,tied,stamp,mn-1-6-5-2-4
mn-1-6-6-2-3--tied--start--1,tied,stamp,mn-1-6-6-2-3
mn-1-6-6-2-4--tied--stop--1,tied,stamp,mn-1-6-6-2-4
mn-1-7-1-1-1--tied--start--1,tied,stamp,mn-1-7-1-1-1
mn-1-7-1-1-2--tied--stop--1,tied,stamp,mn-1-7-1-1-2
mn-1-7-1-1-6--tied--start--1,tied,stamp,mn-1-7-1-1-6
mn-1-7-1-1-7--tied--stop--1,tied,stamp,mn-1-7-1-1-7
mn-1-7-2-1-1--tied--stop--1,tied,stamp,mn-1-7-2-1-1
mn-1-7-2-1-13--tied--start--1,tied,stamp,mn-1-7-2-1-13
mn-1-7-5-2-1--tied--stop--1,tied,stamp,mn-1-7-5-2-1
